File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF653SRK	bed bed9	bed	bed9	transcription segment quantifications	GRCh38	ENCSR997GMY	BruUV-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	1	1_1							/files/ENCFF275DRB/	1115465	Mats Ljungman, UMichigan	89cf013c0ed1d95aea0970852c7c3421		https://www.encodeproject.org/files/ENCFF653SRK/@@download/ENCFF653SRK.bed.gz				released	s3://encode-public/2022/12/21/6c41848d-12ea-4507-b6ac-410fa88054da/ENCFF653SRK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/12/21/6c41848d-12ea-4507-b6ac-410fa88054da/ENCFF653SRK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF031TTN	bed bed9	bed	bed9	transcription segment quantifications	GRCh38	ENCSR997GMY	BruUV-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	2	2_1							/files/ENCFF283VCI/	1060273	Mats Ljungman, UMichigan	a0a9d01bddba7e8e1896be362eeddaa7		https://www.encodeproject.org/files/ENCFF031TTN/@@download/ENCFF031TTN.bed.gz				released	s3://encode-public/2022/12/21/988e4012-43cb-4e17-9f3a-d82c8944fab2/ENCFF031TTN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/12/21/988e4012-43cb-4e17-9f3a-d82c8944fab2/ENCFF031TTN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF320YCS	bed bed9	bed	bed9	merged transcription segment quantifications	GRCh38	ENCSR997GMY	BruUV-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	1	1_1							/files/ENCFF211WMJ/	348446	Mats Ljungman, UMichigan	b68369e683591dc9202f4269e8acc838		https://www.encodeproject.org/files/ENCFF320YCS/@@download/ENCFF320YCS.bed.gz				released	s3://encode-public/2022/12/21/22dc76eb-b2ce-4ced-b3af-870a38b7dc6b/ENCFF320YCS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/12/21/22dc76eb-b2ce-4ced-b3af-870a38b7dc6b/ENCFF320YCS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF477AGA	bed bed9	bed	bed9	merged transcription segment quantifications	GRCh38	ENCSR997GMY	BruUV-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	2	2_1							/files/ENCFF035VCZ/	333440	Mats Ljungman, UMichigan	166e473c1697108f70f7593edefafbc9		https://www.encodeproject.org/files/ENCFF477AGA/@@download/ENCFF477AGA.bed.gz				released	s3://encode-public/2022/12/21/dacdbf42-47d8-4ebc-b65b-89039db8dec3/ENCFF477AGA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/12/21/dacdbf42-47d8-4ebc-b65b-89039db8dec3/ENCFF477AGA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF686JNP	bed bed9	bed	bed9	UV enriched segment quantifications	GRCh38	ENCSR997GMY	BruUV-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	1	1_1							/files/ENCFF948BZB/	668684	Mats Ljungman, UMichigan	8051e17df24fbd378b328e1bda85937c		https://www.encodeproject.org/files/ENCFF686JNP/@@download/ENCFF686JNP.bed.gz				released	s3://encode-public/2022/12/21/c519d638-1776-44ab-a3b6-f15309241871/ENCFF686JNP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/12/21/c519d638-1776-44ab-a3b6-f15309241871/ENCFF686JNP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF979IPW	bed bed9	bed	bed9	UV enriched segment quantifications	GRCh38	ENCSR997GMY	BruUV-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	2	2_1							/files/ENCFF723MVJ/	555971	Mats Ljungman, UMichigan	23efe69c56886d3abbdea04d28df598a		https://www.encodeproject.org/files/ENCFF979IPW/@@download/ENCFF979IPW.bed.gz				released	s3://encode-public/2022/12/21/effb62f1-e170-4acf-946d-2b198ece9dea/ENCFF979IPW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/12/21/effb62f1-e170-4acf-946d-2b198ece9dea/ENCFF979IPW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF879KWM	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR997GMY	BruUV-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	1	1_1							/files/ENCFF694YYE/	2513791	Mats Ljungman, UMichigan	15f2515f9abc027f76c2c72dc8a0fc19		https://www.encodeproject.org/files/ENCFF879KWM/@@download/ENCFF879KWM.bed.gz				released	s3://encode-public/2022/12/21/bc19b45a-72c3-4b53-b396-5fc32a74291d/ENCFF879KWM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/12/21/bc19b45a-72c3-4b53-b396-5fc32a74291d/ENCFF879KWM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF962VCG	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR997GMY	BruUV-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	2	2_1							/files/ENCFF259HUO/	2598835	Mats Ljungman, UMichigan	2a4a17eabdd2e9d35a6083d7d6c68656		https://www.encodeproject.org/files/ENCFF962VCG/@@download/ENCFF962VCG.bed.gz				released	s3://encode-public/2022/12/21/406169f3-a9be-4c04-82b9-49723d727fac/ENCFF962VCG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/12/21/406169f3-a9be-4c04-82b9-49723d727fac/ENCFF962VCG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF653TPQ	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR997GMY	BruUV-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	1, 2	1_1, 2_1							/files/ENCFF694YYE/, /files/ENCFF259HUO/	2262070	Mats Ljungman, UMichigan	db6a4a5e875fccb78344dcb8a0349b99		https://www.encodeproject.org/files/ENCFF653TPQ/@@download/ENCFF653TPQ.bed.gz				released	s3://encode-public/2022/12/21/69f8af2c-9d8d-4f66-af46-8b2398e63bf3/ENCFF653TPQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/12/21/69f8af2c-9d8d-4f66-af46-8b2398e63bf3/ENCFF653TPQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF654JLQ	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR997GMY	BruUV-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	1, 2	1_1, 2_1							/files/ENCFF653TPQ/, /files/ENCFF879KWM/, /files/ENCFF962VCG/	1241962	Mats Ljungman, UMichigan	ec3202af53efad263709852a2674605f		https://www.encodeproject.org/files/ENCFF654JLQ/@@download/ENCFF654JLQ.bed.gz				released	s3://encode-public/2022/12/21/3adccbd1-4c19-46e3-a843-377ad5e96f0f/ENCFF654JLQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/12/21/3adccbd1-4c19-46e3-a843-377ad5e96f0f/ENCFF654JLQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
