File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF711SWW	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR826UTD	Histone ChIP-seq	/human-donors/ENCDO349AAA/	EFO:0002074	PC-3	cell line	Homo sapiens										H3K27ac-human	DNA						2016-05-03	ENCODE		sonication (generic), none	300-600	1	1_1							/files/ENCFF112OEB/, /files/ENCFF945UYG/, /files/ENCFF186LRX/	2003501	ENCODE Processing Pipeline	6cb62ca995bbc1ba37634850ff60b111		https://www.encodeproject.org/files/ENCFF711SWW/@@download/ENCFF711SWW.bed.gz				released	s3://encode-public/2016/11/09/1783356c-d4cc-4dcc-86b2-b4a36f1cb32b/ENCFF711SWW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/09/1783356c-d4cc-4dcc-86b2-b4a36f1cb32b/ENCFF711SWW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking		
ENCFF209VEY	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR826UTD	Histone ChIP-seq	/human-donors/ENCDO349AAA/	EFO:0002074	PC-3	cell line	Homo sapiens										H3K27ac-human	DNA						2016-05-03	ENCODE		sonication (generic), none	300-600	1, 2	1_1, 2_1							/files/ENCFF112OEB/, /files/ENCFF945UYG/, /files/ENCFF681OSL/, /files/ENCFF186LRX/	2055247	ENCODE Processing Pipeline	8e2b6a5d4220b43d5be68c425a1b7d22		https://www.encodeproject.org/files/ENCFF209VEY/@@download/ENCFF209VEY.bed.gz				released	s3://encode-public/2016/11/09/591aa6dc-b626-47fe-a0ff-8604a61fb80d/ENCFF209VEY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/09/591aa6dc-b626-47fe-a0ff-8604a61fb80d/ENCFF209VEY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking		
ENCFF115WAB	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR826UTD	Histone ChIP-seq	/human-donors/ENCDO349AAA/	EFO:0002074	PC-3	cell line	Homo sapiens										H3K27ac-human	DNA						2016-05-03	ENCODE		sonication (generic), none	300-600	2	2_1							/files/ENCFF112OEB/, /files/ENCFF186LRX/, /files/ENCFF681OSL/	1771277	ENCODE Processing Pipeline	8382266b25c86a410dce7451ffec93cf		https://www.encodeproject.org/files/ENCFF115WAB/@@download/ENCFF115WAB.bed.gz				released	s3://encode-public/2016/11/09/0b0e89ff-13cf-4bd7-abc8-7fcfc177e9f9/ENCFF115WAB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/09/0b0e89ff-13cf-4bd7-abc8-7fcfc177e9f9/ENCFF115WAB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking		
ENCFF487YGN	bed narrowPeak	bed	narrowPeak	replicated peaks	hg19	ENCSR826UTD	Histone ChIP-seq	/human-donors/ENCDO349AAA/	EFO:0002074	PC-3	cell line	Homo sapiens										H3K27ac-human	DNA						2016-05-03	ENCODE		sonication (generic), none	300-600	1, 2	1_1, 2_1							/files/ENCFF711SWW/, /files/ENCFF115WAB/, /files/ENCFF209VEY/	2298078	ENCODE Processing Pipeline	88b78e12ace446cc755645d581516cca		https://www.encodeproject.org/files/ENCFF487YGN/@@download/ENCFF487YGN.bed.gz				released	s3://encode-public/2016/11/09/4b266074-7469-49d3-b640-b77e61a82625/ENCFF487YGN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/09/4b266074-7469-49d3-b640-b77e61a82625/ENCFF487YGN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking		
ENCFF890UYI	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR826UTD	Histone ChIP-seq	/human-donors/ENCDO349AAA/	EFO:0002074	PC-3	cell line	Homo sapiens										H3K27ac-human	DNA						2016-05-03	ENCODE		sonication (generic), none	300-600	2	2_1							/files/ENCFF630PML/, /files/ENCFF174JIG/, /files/ENCFF607ZQL/	1770156	ENCODE Processing Pipeline	db8d0bf4acfa2761fb0b4f8ac227694b		https://www.encodeproject.org/files/ENCFF890UYI/@@download/ENCFF890UYI.bed.gz				released	s3://encode-public/2016/11/09/4f02ea69-2a5c-41e4-ba72-7294d462b486/ENCFF890UYI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/09/4f02ea69-2a5c-41e4-ba72-7294d462b486/ENCFF890UYI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	low read length, mild to moderate bottlenecking		
ENCFF812KDG	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR826UTD	Histone ChIP-seq	/human-donors/ENCDO349AAA/	EFO:0002074	PC-3	cell line	Homo sapiens										H3K27ac-human	DNA						2016-05-03	ENCODE		sonication (generic), none	300-600	1, 2	1_1, 2_1							/files/ENCFF474QFK/, /files/ENCFF630PML/, /files/ENCFF174JIG/, /files/ENCFF607ZQL/	2065086	ENCODE Processing Pipeline	67cb4b5a5b889f5c30978930e19e02fb		https://www.encodeproject.org/files/ENCFF812KDG/@@download/ENCFF812KDG.bed.gz				released	s3://encode-public/2016/11/09/e3101dc4-a8e8-4dcb-b2e1-e60d8c359d47/ENCFF812KDG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/09/e3101dc4-a8e8-4dcb-b2e1-e60d8c359d47/ENCFF812KDG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	low read length, mild to moderate bottlenecking		
ENCFF777WYG	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR826UTD	Histone ChIP-seq	/human-donors/ENCDO349AAA/	EFO:0002074	PC-3	cell line	Homo sapiens										H3K27ac-human	DNA						2016-05-03	ENCODE		sonication (generic), none	300-600	1	1_1							/files/ENCFF474QFK/, /files/ENCFF630PML/, /files/ENCFF607ZQL/	2002296	ENCODE Processing Pipeline	0dc2b4ec0781896a303d960fecf425de		https://www.encodeproject.org/files/ENCFF777WYG/@@download/ENCFF777WYG.bed.gz				released	s3://encode-public/2016/11/09/7af04bce-aba5-44fa-ab6c-877371d9ea8a/ENCFF777WYG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/09/7af04bce-aba5-44fa-ab6c-877371d9ea8a/ENCFF777WYG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	low read length, mild to moderate bottlenecking		
ENCFF302MFG	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR826UTD	Histone ChIP-seq	/human-donors/ENCDO349AAA/	EFO:0002074	PC-3	cell line	Homo sapiens										H3K27ac-human	DNA						2016-05-03	ENCODE		sonication (generic), none	300-600	1, 2	1_1, 2_1							/files/ENCFF890UYI/, /files/ENCFF812KDG/, /files/ENCFF777WYG/	2311093	ENCODE Processing Pipeline	f0d53743ff8b08ba747caef05bfc5a83		https://www.encodeproject.org/files/ENCFF302MFG/@@download/ENCFF302MFG.bed.gz				released	s3://encode-public/2016/11/09/3a096c97-c907-4045-b49b-980c6988dc69/ENCFF302MFG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/09/3a096c97-c907-4045-b49b-980c6988dc69/ENCFF302MFG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	low read length, mild to moderate bottlenecking		
ENCFF613EMB	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR826UTD	Histone ChIP-seq	/human-donors/ENCDO349AAA/	EFO:0002074	PC-3	cell line	Homo sapiens										H3K27ac-human	DNA						2016-05-03	ENCODE		sonication (generic), none	300-600	1, 2	1_1, 2_1							/files/ENCFF092ZKC/, /files/ENCFF356LFX/, /files/ENCFF240AMM/, /files/ENCFF951SHC/, /files/ENCFF110MPI/	2236205	ENCODE Processing Pipeline	6746886c32431f79b531ff5306153455		https://www.encodeproject.org/files/ENCFF613EMB/@@download/ENCFF613EMB.bed.gz				released	s3://encode-public/2020/10/09/da7d82d0-2faf-4709-9b36-091be611e9ce/ENCFF613EMB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/09/da7d82d0-2faf-4709-9b36-091be611e9ce/ENCFF613EMB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, mild to moderate bottlenecking		
ENCFF204GCA	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR826UTD	Histone ChIP-seq	/human-donors/ENCDO349AAA/	EFO:0002074	PC-3	cell line	Homo sapiens										H3K27ac-human	DNA						2016-05-03	ENCODE		sonication (generic), none	300-600	1, 2	1_1, 2_1							/files/ENCFF092ZKC/, /files/ENCFF356LFX/, /files/ENCFF240AMM/, /files/ENCFF951SHC/, /files/ENCFF110MPI/	2242938	ENCODE Processing Pipeline	5b3bbc474f45e290283c1181c6c4769e		https://www.encodeproject.org/files/ENCFF204GCA/@@download/ENCFF204GCA.bed.gz				released	s3://encode-public/2020/10/09/9c4b7ebc-d89e-441d-94f5-9f285696bb06/ENCFF204GCA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/09/9c4b7ebc-d89e-441d-94f5-9f285696bb06/ENCFF204GCA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, mild to moderate bottlenecking		
