File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF347EMU	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR441JWF	Histone ChIP-seq	/human-donors/ENCDO647UHQ/	EFO:0002847	PC-9	cell line	Homo sapiens										H3K4me3-human	DNA						2016-05-06	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF830VEF/, /files/ENCFF990NUL/, /files/ENCFF485RPN/, /files/ENCFF356LFX/, /files/ENCFF080WMA/	936561	ENCODE Processing Pipeline	67a215ed5693ae0c27ed1c8a7f51d9d7		https://www.encodeproject.org/files/ENCFF347EMU/@@download/ENCFF347EMU.bed.gz				released	s3://encode-public/2021/01/05/589166eb-36ac-4192-bc4e-50d34038d5f1/ENCFF347EMU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/05/589166eb-36ac-4192-bc4e-50d34038d5f1/ENCFF347EMU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mixed run types		
ENCFF689QIJ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000AKU	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K4me3-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF420ARY/, /files/ENCFF666YXZ/, /files/ENCFF564SVK/, /files/ENCFF685PPQ/, /files/ENCFF356LFX/, /files/ENCFF226FKB/	1111370	ENCODE Processing Pipeline	5dea2993c0831ae344a989d601c09178		https://www.encodeproject.org/files/ENCFF689QIJ/@@download/ENCFF689QIJ.bed.gz				released	s3://encode-public/2020/09/30/e8359d31-b2ab-44d2-8443-75a04a57723e/ENCFF689QIJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/30/e8359d31-b2ab-44d2-8443-75a04a57723e/ENCFF689QIJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	control low read depth, low read depth, mild to moderate bottlenecking, inconsistent platforms	insufficient read depth	
ENCFF392YEW	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR005SXO	Histone ChIP-seq	/human-donors/ENCDO351AAA/	EFO:0006711	OCI-LY7	cell line	Homo sapiens										H3K4me3-human	DNA						2014-07-11	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF317ZWU/, /files/ENCFF918QAX/, /files/ENCFF356LFX/, /files/ENCFF058QUN/, /files/ENCFF139BHA/	991655	ENCODE Processing Pipeline	3ed645434e90990654dc3984e84447bd		https://www.encodeproject.org/files/ENCFF392YEW/@@download/ENCFF392YEW.bed.gz				released	s3://encode-public/2020/10/10/24bc4eb0-2775-4501-b80f-bf7be09b6d3a/ENCFF392YEW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/10/24bc4eb0-2775-4501-b80f-bf7be09b6d3a/ENCFF392YEW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read depth, mild to moderate bottlenecking, low read length	poor library complexity, severe bottlenecking	
ENCFF524QAC	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000AKN	Histone ChIP-seq	/human-donors/ENCDO466MPW/, /human-donors/ENCDO560UMK/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens										H3K4me3-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF152MBM/, /files/ENCFF140JSF/, /files/ENCFF227PCK/	882312	ENCODE Processing Pipeline	ed4a9001aeb5d024f613dd32fdff06cb		https://www.encodeproject.org/files/ENCFF524QAC/@@download/ENCFF524QAC.bed.gz				released	s3://encode-public/2020/09/30/ee9d0265-3d7b-40fa-afe0-c96c35f1e9e7/ENCFF524QAC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/30/ee9d0265-3d7b-40fa-afe0-c96c35f1e9e7/ENCFF524QAC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	control low read depth, low read length	insufficient read depth	
ENCFF550OWZ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR578QSO	Histone ChIP-seq	/human-donors/ENCDO560UMK/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens										H3K4me3-human	DNA						2016-11-16	ENCODE		sonication (generic), shearing (Covaris generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF138VCN/, /files/ENCFF152MBM/, /files/ENCFF907AFX/	552968	ENCODE Processing Pipeline	6bb2d9f040796c5dabf753ca4d99fdf8		https://www.encodeproject.org/files/ENCFF550OWZ/@@download/ENCFF550OWZ.bed.gz				released	s3://encode-public/2020/10/09/ea1db67d-927f-4984-950d-ce37c716ab7b/ENCFF550OWZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/09/ea1db67d-927f-4984-950d-ce37c716ab7b/ENCFF550OWZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	moderate library complexity, low read length, inconsistent platforms, mild to moderate bottlenecking, control low read depth		
ENCFF885FQN	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR668LDD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										H3K4me3-human	DNA						2016-11-08	ENCODE		sonication (generic), shearing (Covaris generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF855ZMQ/, /files/ENCFF226FKB/, /files/ENCFF752MYF/, /files/ENCFF420ARY/, /files/ENCFF666YXZ/	610209	ENCODE Processing Pipeline	db483a7fe9eaf56ee507f9852f0e0ca3		https://www.encodeproject.org/files/ENCFF885FQN/@@download/ENCFF885FQN.bed.gz				released	s3://encode-public/2020/10/20/35426c3b-957a-4757-8c13-0fe001345738/ENCFF885FQN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/20/35426c3b-957a-4757-8c13-0fe001345738/ENCFF885FQN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	control low read depth, inconsistent platforms		
ENCFF407OQB	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR016JWS	Histone ChIP-seq	/human-donors/ENCDO830BUW/	CL:0002327	mammary epithelial cell	primary cell	Homo sapiens										H3K4me3-human	DNA						2016-11-17	ENCODE		sonication (generic), none	200-600	1, 2	1_1, 2_1							/files/ENCFF887PCJ/, /files/ENCFF976YRC/, /files/ENCFF487SCW/, /files/ENCFF356LFX/, /files/ENCFF227YFZ/	797257	ENCODE Processing Pipeline	758487209374f14d69bfac49ba5f0c96		https://www.encodeproject.org/files/ENCFF407OQB/@@download/ENCFF407OQB.bed.gz				released	s3://encode-public/2020/09/29/bcaab0a5-2f00-451b-9dea-a5fa9df72cd5/ENCFF407OQB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/29/bcaab0a5-2f00-451b-9dea-a5fa9df72cd5/ENCFF407OQB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, inconsistent platforms, mild to moderate bottlenecking, mixed read lengths, mixed run types		
ENCFF268RXB	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR985MIB	Histone ChIP-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens										H3K4me3-human	DNA						2016-08-05	ENCODE		sonication (generic), shearing (Covaris generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF101TRI/, /files/ENCFF356LFX/, /files/ENCFF433BQD/, /files/ENCFF374GQR/, /files/ENCFF474LAV/	981271	ENCODE Processing Pipeline	2766f7f43b37d7ae51e956c4d6292a1c		https://www.encodeproject.org/files/ENCFF268RXB/@@download/ENCFF268RXB.bed.gz				released	s3://encode-public/2020/10/09/caf661f2-8b59-4f5c-be45-8ce11a9a9fd3/ENCFF268RXB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/09/caf661f2-8b59-4f5c-be45-8ce11a9a9fd3/ENCFF268RXB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read depth, low read length, mixed read lengths		
ENCFF982DUT	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR575RRX	Histone ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										H3K4me3-human	DNA						2016-11-18	ENCODE		sonication (generic), shearing (Covaris generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF223UKR/, /files/ENCFF311DQC/, /files/ENCFF856IEI/, /files/ENCFF539MTH/, /files/ENCFF245IFK/, /files/ENCFF356LFX/	938928	ENCODE Processing Pipeline	57e4d7d5f873a63a248c60c300b1da27		https://www.encodeproject.org/files/ENCFF982DUT/@@download/ENCFF982DUT.bed.gz				released	s3://encode-public/2020/10/20/5f6e8643-dcf9-4376-a916-294db7b580d4/ENCFF982DUT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/20/5f6e8643-dcf9-4376-a916-294db7b580d4/ENCFF982DUT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read depth, mild to moderate bottlenecking, low read length, mixed read lengths		
ENCFF375RGR	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR275NCH	Histone ChIP-seq	/human-donors/ENCDO349AAA/	EFO:0002074	PC-3	cell line	Homo sapiens										H3K4me3-human	DNA						2016-05-03	ENCODE		sonication (generic), none	300-600	1, 2	1_1, 2_1							/files/ENCFF947PLV/, /files/ENCFF240AMM/, /files/ENCFF356LFX/, /files/ENCFF321ZXH/, /files/ENCFF110MPI/	1272581	ENCODE Processing Pipeline	965a8a299c8ec82c68bbdd4379c67f49		https://www.encodeproject.org/files/ENCFF375RGR/@@download/ENCFF375RGR.bed.gz				released	s3://encode-public/2020/10/10/821c763e-a4f8-45fe-ae36-19c70d2857bb/ENCFF375RGR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/10/821c763e-a4f8-45fe-ae36-19c70d2857bb/ENCFF375RGR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, low read length, mixed read lengths		
